COLLECTABLES,,,,,,,,,,,,,,,,,
EntityID,Rarity,UnlockRules,LockRules,OnlyInStationsIDs,IsAlwaysPresentInStations,ExcludeFromRolls,IsAlwaysPresentInStations,isGenericPY(orStarter),Note,Sblocchi visualizzato in,Can Be Sold,,Name,Description,Price,ModuleType,Quality
COL-IntegrityRecover_M,Uncommon,EV_IC_INT-MugaiHub_SY01Q00,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-MugaiBabe,TRUE,,Consumable,,,,100
COL-IntegrityRecover_L,Rare,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Consumable,,,,500
COL-PowerFuel_S,Common,EV_TST_Unlock1,,,,TRUE,,FALSE,,,TRUE,,Consumable,,,,5
COL-PowerFuel_M,Uncommon,EV_TST_Unlock1,,,,TRUE,,FALSE,EV_CC_CUT_SY01Q00_E,,TRUE,,Consumable,,,,20
COL-PowerFuel_L,Rare,EV_TST_Unlock1,,,,TRUE,,FALSE,QE_SY01Q05,,TRUE,,Consumable,,,,75
ITEMS,,,,,,,,,,,,,,,,,
EntityID,Rarity,UnlockRules,LockRules,OnlyInStationsID,IsAlwaysPresentInStations,ExcludeFromRolls,IsAlwaysPresentInStations,isGenericPY(orStarter),Note,Sblocchi visualizzato in,Can Be Sold,InGame,Name,Description,Price,ModuleType,Quality
PY-P1_P1_S,Salvage,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,,TRUE,TRUE,Arm Red,[C],0,Structural,10
PY-P1_P1_M,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Red,[C],0,Structural,10
PY-P1_P1_L,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Red,[C],0,Structural,10
PY-P1_P2_S,Salvage,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-BirthyRock,TRUE,TRUE,Arm Green to Red,[C],0,Structural,10
PY-P1_P2_M,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Green to Red,[C],0,Structural,10
PY-P1_P2_L,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Green to Red,[C],0,Structural,10
PY-P2_P2_S,Salvage,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-Caemeterium,TRUE,TRUE,Arm Green,[C],0,Structural,10
PY-P2_P2_M,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Green,[C],0,Structural,10
PY-P2_P2_L,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Green,[C],0,Structural,10
PY-P2_DP1_S,Salvage,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-Caemeterium,TRUE,TRUE,Arm Green to Double Red,[C],0,Structural,10
PY-P2_DP1_M,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Green to Double Red,[C],0,Structural,10
PY-P2_DP1_L,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Green to Double Red,[C],0,Structural,10
PY-P3_P3_S,Salvage,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,,TRUE,TRUE,Arm Blue,[C],0,Structural,10
PY-P3_P3_M,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Blue,[C],0,Structural,10
PY-P3_P3_L,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Blue,[C],0,Structural,10
PY-P3_DP1_S,Salvage,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,,TRUE,TRUE,Arm Blue to Double Red,[C],0,Structural,10
PY-P3_DP1_M,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Blue to Double Red,[C],0,Structural,10
PY-P3_DP1_L,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Blue to Double Red,[C],0,Structural,10
PY-P3_DP2_S,Salvage,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,,TRUE,TRUE,Arm Blue to Double Green,[C],0,Structural,10
PY-P3_DP2_M,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Blue to Double Green,[C],0,Structural,10
PY-P3_DP2_L,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Blue to Double Green,[C],0,Structural,10
Special01_PY-P1_P1_S,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Arm Red,[C],0,Structural,10
BODY00-StaringBody,Uncommon,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,,TRUE,TRUE,Evo,"""The bodies of new humans will be cockpits. Their limit, the universe."" With these words, Abby Shield introduced the Evo, the standard body of every raider.",900,MainBody,480
BODY01-Spartan,Legendary,EV_QE_SY01Q10,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,Blueprint,TRUE,TRUE,Beyond,"An evolution of Abby’s basic model, designed to carry more powerful weapons.",2700,MainBody,770
BODY02-Dragon,Mythic,EV_IC_INT-MugaiHub_SY01Q00,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-MugaiBabe,TRUE,TRUE,Lizard Moon,"An old Maison Melies design for early Imperial ships, later stolen by Isaac Greyling Foundry. Basic, mid-strength, with no notable features.",2100,MainBody,690
BODY03-Principal,Rare,EV_IC_INT-StationRec-Prometheus,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-Caemeterium,TRUE,TRUE,Iron Creed,"The story goes that the first Iron leader, the Great Apostate, slew so many rivals that he forged a new hull from the pieces of their bodies.",1300,MainBody,550
BODY04-AppioBody,Rare,EV_IC_INT-StationRec-CageStation,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-CageStation,TRUE,TRUE,Bios,"The HomeInSpace Company designed the Bios for their Mugai mining raiders, seeking durable bodies. They later became the Empire’s main problem in the Mining Soul Revolution.",1300,MainBody,550
BODY02a-Dragon_Iron,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Iron Lizard,"A modification of the Lizard Moon, built by the Iron Guild after several prototypes. To choose the best, raiders were installed in them and fought each other.",0,MainBody,0
BODY02b-Dragon_Gold,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Gold Lizard,"A modified Lizard Moon based on the original body, enhanced with the famous Injectable Gold used by Gold Guild raiders.",0,MainBody,0
BODY10-IronBody,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Not Found,,0,MainBody,0
BODY11-GoldBody,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Not Found,,0,MainBody,0
BODY12-MaalaxmiBody,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Newcult,The Malaxdon are closed to the world beyond the Tree. Their rejection of traditional modules led them to develop a body grounded in their belief in Balance.,0,MainBody,0
BODY13-AlienBody,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Colonizer,"Old Imperial colonies can be a source of great satisfaction, especially when adapting alien ship cockpits for raider bodies. The Colonizer has been tested in some of the Human Empire’s most important expansion wars.",0,MainBody,0
BODY14-IronScale,Legendary,,,,,TRUE,,FALSE,,,TRUE,FALSE,IronSun,"The Iron Guild’s latest and greatest body, forged from the capital ship carcasses of past leaders.",3200,MainBody,840
BODY15-GoldWings,Rare,,,,,TRUE,,FALSE,,,TRUE,FALSE,Chrysos,Countless experiments were needed to achieve this body. Raiders who wield it spread golden glory across the Imperial colonies.,3200,MainBody,840
BODY16-IronScaleRust,Legendary,EV_QE_SY01Q13,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,Blueprint,TRUE,TRUE,Recycled IronSun,"The Iron Guild’s latest and greatest body, forged from the capital ship carcasses of past leaders.
Recycled body.",2900,MainBody,800
BODY17-GoldWingsDust,Rare,EV_QE_SY01Q14,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,Blueprint,TRUE,TRUE,Recycled Chrysos,"Countless experiments were needed to achieve this body. Raiders who wield it spread golden glory across the Imperial colonies.
Recycled body.",2700,MainBody,770
SBDY01-SuperEagle,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Not Found,,0,MainBody,0
SBDY01-Eagle,Legendary,EV_IC_INT-StationRec-AsteroidDump,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-AsteroidDump,TRUE,TRUE,Eagle,"No one sued when Entity stole the ""Beyond"" trademark from Abbey's Shield. The result is a light, fast, capacious raider body.",3400,MainBody,860
SBDY02-Classic,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Algor,"Following its vision of “Realizing the future as if it were already present,” TTF System created the Algor, a prized raider body born from its own AI’s investments.",0,MainBody,0
SBDY03-Fly,Legendary,EV_IC_INT-StationRec-Marianan,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-Marianan,TRUE,TRUE,Zephyros,"Derived from imperial suites where users were connected to each other, this tech evolved into a raider body. Zephyros uses connection data to minimize power use.",2700,MainBody,780
SBDY04-Fregade,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Talon,"Imperial explorers were the first to use this Maison Melies-designed high-pressure hull. Once a simple cockpit, it became a raider hull during early Neterun colonization.",0,MainBody,0
SBDY05-Helicon,Legendary,EV_QE_SY04Q06,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,Blueprint,TRUE,TRUE,Helicon,"Project One Record
Though the team is decimated, the Family demands continuity. Mind installation onto Helicon underway. Biological body will be destroyed.",4200,MainBody,940
SBDY06-Blade,Legendary,EV_QE_SY01Q10,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,Blueprint,TRUE,TRUE,Prism,Sharp like a Mhafek’s pain.,3500,MainBody,870
MOD00-StartingShipEngine,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Fibuljet,"Designed by HIS to save weight and cost, it was later mass-produced by the colonists of NGCC 97-Aleph.",0,MainEngine,0
MOD00a-InternalEngine_00,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,[C],[C],0,,
MOD00a-InternalEngine_01,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,[C],[C],0,,
MOD00-PrincipalShipEngine,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Nervprop,"During the War of the Artifacts, many Imperial explorers might have survived if only they’d had an engine like this.",0,MainEngine,0
MOD00-DragonShipEngine,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Flexxor Z9,"Kin designed this prosthesis for Imperial veterans, but Behl repurposed it as a raider engine after a subject leapt from orbit.",0,MainEngine,0
MOD00-SpartanShipEngine,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Ildorboost,"Another stroke of genius from Isaac Greyling, who built this engine from a design stolen in Abby Shield’s archives.",0,MainEngine,0
MOD01-Engine_XS,Common,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-BirthyRock,TRUE,TRUE,EX-S,"A low-cost engine from Entity, mass-produced under Old Joe’s motto: ‘If you don’t have anything better, why not this?’",300,MainEngine,380
MOD01-Engine_S,Epic,,,,"SS-BirthyRock,SS-Caemeterium,SS-Casbhangar,SS-MugaiBabe,SS-Marianan,SS-Opaleum,SS-Sapphirum,SS-Crystal,SS-Emerald,SS-GoldLastStand,SS-IronLastStand,SS-AsteroidDump,SS-Galilean,SS-CageStation,SS-MiningStation,SS-MutoidHut,SS-Morya,SS-IronOre,SS-FineryForge,SS-Smaug,SS-Theia,SS-Heusos,SS-IronMoon,SS-IronMeteor,SS-Kong,SS-IronStationBase,SS-Sesamus,SS-Mandir,SS-Klondike,SS-GoldStationBase,SS-Macbeth,SS-MiddleTemple,SS-Equilibrium",TRUE,,TRUE,,SS-BirthyRock,TRUE,TRUE,Speeder,"Entity brand, a slight improvement over the basic model. Used on Iron and Gold raider ships during the Pact of the Guilds.",800,MainEngine,610
MOD01-EngineLevel_S,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Speeder Mod 0,"Unauthorized modifications unlocked the S-Engine’s control stakes, creating a new, upgradeable version.",0,MainEngine,0
MOD01-EngineLevel1_S,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Speeder Mod 1,"Unauthorized modifications unlocked the S-Engine’s control stakes, creating a new, upgradeable version.",0,MainEngine,0
MOD01-EngineLevel2_S,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Speeder Mod 2,"Unauthorized modifications unlocked the S-Engine’s control stakes, creating a new, upgradeable version.",0,MainEngine,0
MOD01-EngineLevel3_S,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Speeder Mod 3,"Unauthorized modifications unlocked the S-Engine’s control stakes, creating a new, upgradeable version.",0,MainEngine,0
MOD01-EngineLevel4_S,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Speeder Mod 4,"Unauthorized modifications unlocked the S-Engine’s control stakes, creating a new, upgradeable version.",0,MainEngine,0
MOD01a-Engine_Iron_S,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Irongine,"The Iron Raiders tested their engines on prisoners forced to escape the Hole’s gravity. One succeeded, became a guild leader, and his engine was named Irongine.",0,MainEngine,0
MOD01b-Engine_S_Premium,Salvage,,,,,TRUE,,FALSE,,,TRUE,FALSE,Boosted S,"Right after the Pact of the Guilds, before hostilities resumed, Iron and Gold collaborated to improve the common engine used by their raiders, one of their last peaceful pacts.",0,MainEngine,0
