QuestChainActorGiver,QuestChainID,SuggestedLevel,Repeatable,QuestChainProbability,QuestChainLockConditions,QuestChainPreRequisite,OnAccepted,OnTracked,Reward,Title,Motto,Description,QuestChainLogic,QuestChainGiver,QuestChainLabel,AutoAccept,AutoTrack,TriggerEventId,QE,QS,QT,
QGS2Global,SY02Q23,1,No,,EV_QE_SY01Q14,EV_QE_SY02QIron,,,,Iron Storm,Haru Okabe,"The more foes you defeat during Varna Station’s conquest, the more glory you’ll earn with Haru and the Iron Guild.",RESET,IRON,MANDATORY,TRUE,FALSE,,,,,
QGS2Global,SY02Q24,1,No,,EV_QE_SY01Q14,EV_QE_SY02QIron,,,,Natural Enemies,Haru Okabe,Haru argues Heusos Station is crucial to Gold’s power. Conquering it would strip Koyash of a key asset. She orders you to take it and destroy every enemy,RESET,IRON,MANDATORY,TRUE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
,,,,,,,,,,,,,,,,FALSE,FALSE,,,,,
QGS3Global,SY03Q00,1,No,,,,,,,Colossal Hunting,Homerus,"There’s no trace of Ban Xerte in the Tree, but the bio-echo of the Rehun seems to be resonating towards one of the Tree’s areas. Homerus suggests you follow the echo in hopes of finding the Colossus.",RESET,HOMERUS,MANDATORY,TRUE,TRUE,,,,,
QGS3Global,SY03Q01,1,No,,,EV_QE_SY03Q00,,,,The Approval of a Cult,Yalda Nor,"The Malaxdon are unwelcoming to raiders from colonies outside the Tree. Yalda has decided that if you want her help, you must first find some of her siblings who got lost during an investigation.",RESET,HOMERUS,MANDATORY,TRUE,TRUE,,,,,
QGS3Global,SY03Q02,1,No,,,EV_QE_SY03Q01,,,,Cultist Souls,Yalda Nor,"Outsider, you have saved one of us, and you deserve my attention. I will try to help you and give you the answers you seek.",RESET,HOMERUS,MANDATORY,TRUE,TRUE,,,,,
QGS3Global,SY03Q03,1,No,,,EV_QE_SY03Q02,,,,The Lexon Schism,Homerus,"The neural fragment of the High Lexon contained a memory in the Last Ruins area, possibly related to Tale Shoo. Yalda told us that he was responsible for the schism the Malaxdon suffered because of Ban Xerte itself, and the bounty the Malaxdon placed on his body. By finding Tale, we will find Ban Xerte and his biological remnant.",RESET,HOMERUS,MANDATORY,TRUE,TRUE,,,,,
QGS3Global,SY03Q04,1,No,,,EV_QE_SY03Q03,,,MAL_UP_200,The One Who Betrays,Homerus,"An ancient Neterunian Lump allowed us to find traces of the Lexon, the raiders who started the Malaxdon schism. The tracks lead us to the Forbidden Ruins, other Neterunian rests now inhabited by creatures and Alters.",RESET,HOMERUS,MANDATORY,TRUE,TRUE,,,,,
QGS3Global,SY03Q05,1,No,,,EV_QE_SY03Q04,,,,The Sanctum of Ban Xerte,Homerus,,RESET,HOMERUS,MANDATORY,TRUE,TRUE,,,,,
QGS3-Macbeth,SY03Q06,1,No,,,EV_QE_SY03Q00,,,,When the Human Empire Fails,Old Joe,"The Human Empire is constantly searching for resources. From this perspective, the Neterunian Tree may contain several, but not all raiders are willing to face the danger and collect them. But you are different, right? Besides, we pay well.",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Macbeth,SY03Q07,1,No,,,EV_QE_SY03Q06,,,,Finding a Symbiont - Spore Haustor,Old Joe,"You have collected the first Haustor, a kind of symbiotic material. There are other types in dangerous areas of the Tree. Collect them for me.",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
QGS3-Macbeth,SY03Q08,1,No,,,EV_QE_SY03Q06,,,,Finding a Symbiont - Capsule Haustor,Old Joe,"You have collected the first Haustor, a kind of symbiotic material. There are other types in dangerous areas of the Tree. Collect them for me.",RESET,IMPERIAL,SECONDARY,TRUE,FALSE,,,,,
