AssociatedNPC,RuleId,Base Tier,Integrity,Shield,Damage med,Damage Secondary med,Accuracy Primary,Primary Attack rate,DPS med,InGame,IsBoss,,,Copy,,DEFAULT TIER SCALING,,,,,,,
"EN-SisterHoe, EN-Jewella",DroneMBalanced,0,5500,5000,500,150,0.75,4,1500,FALSE,FALSE,,,EN-DronePirate,,,,,,,,,
"EN-BrotherPickaxe, EN-Orogenya",DroneMBalanced,0,5500,5000,500,150,0.75,4,1500,FALSE,FALSE,,,,,,,,,,,,
"EN-HatefulMagma, EN-Hesperide, EN-EvilMagma",DroneMOffensive,0,7500,5000,852.5,852.5,0.85,7,5072,FALSE,FALSE,,,,,,,,,,,,
"EN-AngryMiner, EN-Midas",DroneMiner,0,9500,0,125,150,0.65,3,243,FALSE,FALSE,,,,,,,,,,,,
EN-Haru,RaiderMOffensive,0,15000,10000,750,3000,0.85,10,6375,FALSE,FALSE,,,,,,,,,,,,
EN-Vassal,Capital,0,420000,0,1000,150,0.3,2,600,FALSE,FALSE,,,"EN-DronePirate, EN-Jammer",,,,,,,,,
EN-GoldBishop,Capital,0,420000,0,1000,150,0.3,2,600,FALSE,FALSE,,,,,,,,,,,,
EN-Aurelia,Capital,0,420000,0,1000,150,0.3,2,600,FALSE,FALSE,,,,,,,,,,,,
EN-Volcano,Capital,0,420000,0,1000,150,0.3,2,600,FALSE,FALSE,,,,,,,,,,,,
EN-RimDefender,Capital,0,420000,0,1000,150,0.3,2,600,FALSE,FALSE,,,,,,,,,,,,
EN-IronCommander,Capital,0,420000,0,1000,150,0.3,2,600,FALSE,FALSE,,,,,,,,,,,,
KO-Turtle,Colossus,0,600000,0,1000,150,0.5,2,1000,FALSE,FALSE,,,,,,,,,,,,
EN-Isotope,Capital,0,420000,0,1000,150,0.3,2,600,FALSE,FALSE,,,,,,,,,,,,
EN-Locust,CreatureKamikaze,0,100,0,750,150,0.4,2,600,FALSE,FALSE,,,,,,,,,,,,
EN-Lepisma,TutorialCreature,0,1200,0,300,150,0.5,0.5,75,FALSE,FALSE,,,,,,,,,,,,
EN-ZombieShip_02,DroneSBalanced,0,5000,2000,375,150,0.75,5,1406,FALSE,FALSE,,,,,,,,,,,,
EN-Druimo,CreatureAmbush,3,24000,0,1430,195,0.5,0.5,357,FALSE,FALSE,,,,,,,,,,,,
EN-MutilatedGold,DroneMOffensive,0,7500,5000,852.5,852.5,0.85,7,5072,FALSE,FALSE,,,,,,,,,,,,
EN-Maalaxmi01,DroneMBalanced,0,5500,5000,500,150,0.75,4,1500,FALSE,FALSE,,,,,,,,,,,,
EN-Maalaxmi02,DroneMDefensive,0,7500,5000,852.5,150,0.85,7,5072,FALSE,FALSE,,,,,,,,,,,,
EN-Lexon01,DroneMBalanced,0,5500,5000,500,150,0.75,4,1500,FALSE,FALSE,,,,,,,,,,,,
EN-Lexon02,DroneMOffensive,0,7500,5000,852.5,852.5,0.85,7,5072,FALSE,FALSE,,,,,,,,,,,,
"EN-Tale, EN-Kuzmina",RaiderMOffensive,0,15000,10000,750,3000,0.85,10,6375,FALSE,FALSE,,,,,,,,,,,,
EN-GhostMask,CreatureGhost,0,3000,0,750,150,0.4,2,600,FALSE,FALSE,,,,,,,,,,,,
EN-Enhanced Possessed,DroneMBalanced,4,9900,9000,1300,210,0.75,4,3900,FALSE,FALSE,,,,,,,,,,,,
EN-PossessedRaider,DronePossessed,4,5400,0,390,210,0.7,3,819,FALSE,FALSE,,,,,,,,,,,,
EN-GhostMaskKingdom,CreatureGhost,4,5400,0,1950,210,0.4,2,1560,FALSE,FALSE,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,EN-BatikiMining,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,EN-BatikiMining,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EN-BatikiGuard, EN-BatikiCargo",,,,,,,,,
,,,,,,,,,,,,,,EN-BatikiMining,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,EN-BatikiMining,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EN-BatikiGuard, EN-BatikiCargo",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EN-BatikiGuard, EN-BatikiCargo",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EN-BatikiMining, EN-BatikiGuard",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EN-BatikiMining, EN-BatikiGuard",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EN-BatikiMining, EN-BatikiGuard, EN-BatikiCargo",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,EN-Murena,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EN-ScalpedRaider, EN-ArmedScalped",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,EN-Murena,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EN-ArmedScalped, EN-ScalpedRaider",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EN-ArmedScalped, EN-ScalpedRaider",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,"EN-Zanion, EN-SuperZanion, EN-Murena",,,,,,,,,
