QuestChainID,QuestID,Checkpoint,BlockSaveGame,IsStationRoomCheckpoint,OnActivate,OnComplete,WaitEventBeforePanel,ActorCenterEventId,FailDistance,Task0,Task0Text,Task0POI,Task1,Task1Text,Task1POI,Task2,Task2Text,Task2POI,Task3,Task3Text,Task3POI,Task4,Task4Text,Task4POI,FailEvent,Timer (seconds),OnEndTimerEvent,RollbackLocationId,DescriptionOverride
SY00Q07,SY00Q07_M,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_RP_SUB-MugaiMabe,Go to the Core,[SYS_0 TS_SUB-Prometheus TS_GA-Ascension],,//,,,//,,,//,,,,,,,,,"Now that you've sorted things out after the Colossus attack, you can continue your journey toward The Core. Follow Old Joe to the Mugai Station area."
SY00Q08,SY00Q08_A,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_RP_QuestGiver_SY00Q05,,[SYS_0 TS_SUB-BirthyRock TS_MN-QuestGiver_Monitor],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q08,SY00Q08_B,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_TST_SY00Q05_A0,,[SYS_0 TS_SUB-BirthyRock TS_MN-QuestGiver_Monitor],,//,,,//,,,//,,,//,,,,,,NONE
SY00Q09,SY00Q09_A,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_IC_INT-ImperialConsole,Upload Zanion bio-traces to the ship’s scanner,[SYS_0 TS_SUB-BirthyRock TS_INT-ImperialConsole],,//,,,//,,,//,,,,,,,,,NONE
SY00Q09,SY00Q09_A1,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_RP_Zone_Sy00Q09_ZanionNest,Reach the Zanion nest,[SYS_0 TS_SUB-BirthyRock TS_Zone_Sy00Q09_ZanionNest],,,,,,,,,,,,,,,,,NONE
SY00Q09,SY00Q09_A2,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_DC_TC_SY00Q09_A1,Consult Homerus,,,,,,,,,,,,,,,,,,NONE
SY00Q09,SY00Q09_B,CHECKPOINT_SAFE,FALSE,FALSE,LD_00_BirthyRock_ZanionQuest,ULD_00_BirthyRock_ZanionQuest,,,,EV_IC_INT-ZanionButt(6),Use the scanner to locate Zanion Husks and collect them,"[SYS_0 TS_SUB-BirthyRock TS_Zone_Sy00Q09_ZanionNest]
[SYS_0 TS_SUB-BirthyRock TS_INT-ZanionButt]",,//,,,//,,,//,,,,,,,,BirthyRock-Station,NONE
SY00Q09,SY00Q09_C,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_IC_INT-ImperialRelay_SY00Q09,Connect to the Imperial Relay to transmit the data on the husks,[SYS_0 TS_SUB-BirthyRock TS_INT-ImperialRelay_SY00Q09],,//,,,//,,,//,,,,,,,,,NONE
SY00Q10,SY00Q10_A,CHECKPOINT_SAFE,FALSE,FALSE,,,,,,EV_DE_EN-Zanion(10),Kill Zanion,,,//,,,//,,,//,,,,,,,,BirthyRock-Station,NONE
SY00Q11,SY00Q11_A,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_SND_COL-SonicMatter(30),Collect and deliver 30 Sonic Matter Units,,,//,,,//,,,//,,,//,,,,,,NONE
SY00Q12,SY00Q12_A0,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_IC_INT-StabilityAntenna,Examine the Dump Stability Antenna,[SYS_0 TS_SUB-BirthyRock TS_INT-StabilityAntenna],,//,,,//,,,//,,,,,,,,,NONE
SY00Q12,SY00Q12_A,CHECKPOINT_SAFE,FALSE,FALSE,,ULD_SY00Q12_A,,,,EV_IC_INT-DumpGenerator_SY00Q12(3),Use the scanner to locate three generators in the Dump area and collect them,"[SYS_0 TS_SUB-BirthyRock TS_Zone_ScrapYard_B]
[SYS_0 TS_SUB-BirthyRock TS_INT-DumpGenerator_SY00Q12]",,//,,,//,,,//,,,//,,,,,Dump-Station,NONE
SY00Q12,SY00Q12_B,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_IC_INT-DumpGeneratorRoot_SY00Q12,Reinstall a generator in the Primary Power Unit,[SYS_0 TS_SUB-BirthyRock TS_INT-DumpGeneratorRoot_SY00Q12],,//,,,//,,,//,,,,,,,,,NONE
SY00Q12,SY00Q12_C,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_IC_INT-DumpGeneratorRoot_SY00Q12_2,Reinstall a generator in the Backup Battery,[SYS_0 TS_SUB-BirthyRock TS_INT-DumpGeneratorRoot_SY00Q12_2],,//,,,//,,,//,,,,,,,,,NONE
SY00Q12,SY00Q12_D,NO_CHECKPOINT,FALSE,FALSE,,ULD_SY00Q12-PRE,,,,EV_IC_INT-DumpGeneratorRoot_SY00Q12_3,Reinstall a generator in the Control Node,[SYS_0 TS_SUB-BirthyRock TS_INT-DumpGeneratorRoot_SY00Q12_3],,//,,,//,,,//,,,,,,,,,NONE
SY00Q12,SY00Q12_E,CHECKPOINT_ALWAYS,FALSE,FALSE,"LD_SY00Q12_E
CS_CUT_DumpReactivation_SY00Q12
MMAUTO_START","ULD_SY00Q12_E
LD_SY00Q12-POST
MMAUTO_STOP",,,,EV_CC_CUT_DumpReactivation_SY00Q12,//,,,//,,,//,,,//,,,,,,,,,//
SY00Q13,SY00Q13_A0,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_RP_SS-Caemeterium,Reach Prometheus Station,[SYS_0 TS_SUB-Prometheus TS_SS-Caemeterium],,,,,,,,,,,,,,,,,NONE
SY00Q13,SY00Q13_A1,CHECKPOINT_ALWAYS,TRUE,FALSE,"LD_SY00Q04_G
CS_CUT_SY00Q04_G",,,,,EV_CC_CUT_SY00Q04_G,[H] - wait for cutscene,,,,,,,,,,,,,,,,,,//
SY00Q13,SY00Q13_A,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_RP_Zone_SY0Q13_CageFixing,Reach the Cage Monitoring Bay,[SYS_0 TS_SUB-Prometheus TS_INT-ImperialConsole_SY00Q13],,//,,,//,,,//,,,,,,,,,NONE
SY00Q13,SY00Q13_B,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_IC_INT-ImperialConsole_SY00Q13,Register at the Imperial console to exit the cage,[SYS_0 TS_SUB-Prometheus TS_INT-ImperialConsole_SY00Q13],,//,,,//,,,//,,,,,,,,,"You are about to leave the cage. The Human Empire warns that once you leave, you cannot return until your mission is complete."
SY00Q13,SY00Q13_C,CHECKPOINT_ALWAYS,TRUE,FALSE,"LD_SY00Q13_C
CS_CUT_SY00Q13_C","ULD_SY00Q13_C
LD_SY00Q13_C1",,,,EV_CC_CUT_SY00Q13_C,[H] - wait for cutscene,,,//,,,//,,,//,,,,,,,,,NONE
SY00Q13,SY00Q13_C1,CHECKPOINT_ALWAYS,TRUE,FALSE,"LD_SY00Q13_D
MMAUTO_START
MSAE_Ghost-Horror-Exploration",,,,,EV_IC_INT-OldAntighost_SY00Q13,Use the Proto-Repulsor just outside the cage to activate its protection system,[SYS_0 TS_SUB-Prometheus TS_INT-OldAntighost_SY00Q13],,//,,,//,,,//,,,,,,,,,NONE
SY00Q13,SY00Q13_D,CHECKPOINT_SAFE,TRUE,FALSE,"MMAUTO_START
MSAE_Ghost-Horror-Exploration",ULD_SY00Q13_C1,,,,EV_IC_INT-GateActivator_SY00Q13-a,Use the scanner to locate and activate Trigger Unit-A1,[SYS_0 TS_SUB-Prometheus TS_INT-GateActivator_SY00Q13-a],EV_IC_INT-GateActivator_SY00Q13-b,Use the scanner to locate and activate Trigger Unit-B1,[SYS_0 TS_SUB-Prometheus TS_INT-GateActivator_SY00Q13-b],EV_IC_INT-GateActivator_SY00Q13-c,Use the scanner to locate and activate Trigger Unit-C1,[SYS_0 TS_SYS_0 TS_SUB-Prometheus TS_INT-GateActivator_SY00Q13-c],,//,,,,,,,,,You are outside the cage. Use your scanner to track down the three trigger needed to reboot the speedgate network and reach the old Colonial Perimeter. Engage any Proto-Repulsors in the area if the Alters attempt to possess you.
SY00Q13,SY00Q13_D1,CHECKPOINT_ALWAYS,TRUE,FALSE,,,,,,EV_IC_INT-SpeedgateSwitch_SY00Q13,Power up the speedgate road with the Igniter,[SYS_0 TS_SUB-Prometheus TS_INT-SpeedgateSwitch_SY00Q13],,,,,,,,//,,,,,,,,,NONE
SY00Q13,SY00Q13_E,CHECKPOINT_ALWAYS,TRUE,FALSE,LD_SY00Q13_E,ULD_SY00Q13_E,,,,EV_RP_Zone_SY0Q13_SafetyArea,Reach the Colonial Perimeter,[SYS_0 TS_SUB-Prometheus TS_Zone_SY0Q13_SafetyArea],,//,,,//,,,//,,,,,,,,,NONE
SY00Q13,SY00Q13_F,CHECKPOINT_SAFE,TRUE,FALSE,"MMAUTO_START
MSAE_Ghost-Horror-Exploration",,,,,EV_IC_INT-CageSpareParts_SY00Q13(7),Find Reactor Cell units in the area,[SYS_0 TS_SUB-Prometheus TS_INT-CageSpareParts_SY00Q13],,//,,,//,,,//,,,,,,,,,Scan the expansive Colonial Perimeter to locate and retrieve the reactor cells. There is no turning back until you secure every single one.
SY00Q13,SY00Q13_G,NO_CHECKPOINT,TRUE,FALSE,LD_SY00Q13_G,"ULD_SY00Q13_G
ULD_SY00Q13_D
MSOE_Ghost-Horror-Exploration
",,,,EV_RP_Zone_SY0Q13_EndCutsceneTrigger,Go back,[SYS_1 TS_SUB-Prometheus TS_POI-SY00Q13],,//,,,//,,,//,,,,,,,,,NONE
SY00Q13,SY00Q13_H,CHECKPOINT_ALWAYS,TRUE,FALSE,"LD_SY00Q13_H
CS_CUT_SY00Q13_H","ULD_SY00Q13_H
MMAUTO_STOP",,,,EV_CC_CUT_SY00Q13_H,[H] - wait for cutscene,,,//,,,//,,,//,,,,,,,,,NONE
SY00Q13,SY00Q13_I,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_IC_INT-CellHolder,Deposit the load in the Cell Holder,[SYS_0 TS_SUB-Prometheus TS_INT-CellHolder],,//,,,,,,//,,,,,,,,,Transfer the energy from the reactor cells into the cell holder to restore the cage.
SY01Q00,SY01Q00_A0,CHECKPOINT_ALWAYS,FALSE,FALSE,"LD_01-SY01Q00-JoeCapital
LD_01-SY01Q00-OldJoesCargo",,,,,EV_DC_TST_SY01Q00_A0,Consult Homerus,,,//,,,,,,//,,,,,,,,,NONE
SY01Q00,SY01Q00_A1,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_RP_EN-EmpireCapitalShip,Join Old Joe at Mugai Station,[SYS_1 TS_SUB-MugaiMabe SS-MugaiBabe],,//,,,,,,//,,,,,,,,,NONE
SY01Q00,SY01Q00_A2,CHECKPOINT_ALWAYS,TRUE,FALSE,,,,,,EV_DC_TST_SY01Q00_A2,Link Old Joe,,,//,,,,,,//,,,,,,,,,NONE
,,CHECKPOINT_SAFE,FALSE,FALSE,,,,,,"EV_RP_Zone_TutorialScanner, EV_RP_INT-CargoMemory_SY01Q00",//,[SYS_1 TS_SUB-MugaiMabe TS_Zone_TutorialScanner],,//,,,,,,//,,,,,,,,,//
,,CHECKPOINT_ALWAYS,FALSE,FALSE,,,,,,EV_TSC_Scan,//,"[SYS_1 TS_SUB-MugaiMabe TS_Zone_TutorialScanner]
[SYS_1 TS_SUB-MugaiMabe TS_INT-Cargo_SY01Q00]",,//,,,,,,//,,,,,,,,,//
SY01Q00,SY01Q00_A5,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_IC_INT-CargoMemory_SY01Q00,Use the scanner to locate the Cargo Memory and examine it,"[SYS_1 TS_SUB-MugaiMabe TS_Zone_TutorialScanner]
[SYS_1 TS_SUB-MugaiMabe TS_INT-CargoMemory_SY01Q00]",,//,,,,,,//,,,,,,,,,NONE
SY01Q00,SY01Q00_A6,CHECKPOINT_ALWAYS,TRUE,FALSE,,,,,,EV_DC_TST_SY01Q00_A6,Link Old Joe,,,//,,,,,,//,,,,,,,,,NONE
SY01Q00,SY01Q00_A,NO_CHECKPOINT,FALSE,FALSE,,,,,,EV_IC_INT-JoeCargoPiece_SY01Q00,Use the scanner to locate Old Joe's lost cargo ship near the speedgate road and examine its memory,[SYS_1 TS_SUB-MugaiMabe TS_INT-JoeCargoPiece_SY01Q00],,//,,,//,,,//,,,//,,,,,,"Mugai Station is locked down, and Old Joe's cargo, required to bring it back online, never arrived. Use your scanner along the area's speedgate road to locate the cargo and its high value data core."
SY01Q00,SY01Q00_B1,NO_CHECKPOINT,TRUE,FALSE,"LD_01-SY01Q00_A1
MMAUTO_START
MSAE_FightTurretsLimbo
CS_CUT_SY01Q00_A1",ULD_01-SY01Q00_A1,,,,EV_CC_CUT_SY01Q00_A1,,,,//,,,//,,,//,,,//,,,,,,NONE
SY01Q00,SY01Q00_C,NO_CHECKPOINT,TRUE,FALSE,LD_01-SY01Q00_B,"MSAE_TensionBeat_LOW
ULD_01-SY01Q00_B",,INT-OldJoesCargo,32000,CARGO_COL-StationSupply_Z,Retrieve Joe's data,"[SYS_1 TS_SUB-MugaiMabe TS_ENEG-SY01Q00_C]
[SYS_1 TS_SUB-MugaiMabe TS_COL-StationSupply_Z]",EV_EGE_ENEG-SY01Q00_C,Kill the Batiki,[SYS_1 TS_SUB-MugaiMabe TS_ENEG-SY01Q00_C],,//,,,//,,,//,,,,,,The Batiki destroyed the cargo vessel and stole the data required to bring the station back online. Retrieve the data core and return it to Mugai Station.
SY01Q00,SY01Q00_C1,NO_CHECKPOINT,TRUE,FALSE,LD_01-SY01Q00_A,,,,,"EV_RP_ZONE_Sy1_Ss0_MUGAI_MABE, EV_RP_EN-EmpireCapitalShip",Back to Mugai Station,[SYS_1 TS_SUB-MugaiMabe TS_ZONE_Sy1_Ss0_MUGAI_MABE],,,,,,,,//,,,,,,90.0,FAIL,,NONE
SY01Q00,SY01Q00_C2,CHECKPOINT_ALWAYS,TRUE,FALSE,"MSAE_Fight_Zaniboni
MPAR_Intensity_1","ULD_01-SY01Q00_A
MSOE_Fight_Zaniboni
MMAUTO_STOP",,SS-MugaiBabe,30000,EV_EGE_ENEG-SY01Q00_D,Destroy the assaulting Batiki force,[SYS_1 TS_SUB-MugaiMabe TS_ENEG-SY01Q00_D],,,,,,,,//,,,,,,,,,NONE
SY01Q00,SY01Q00_D,NO_CHECKPOINT,FALSE,FALSE,,CIR_COL-StationSupply_Z,,,,EV_IC_INT-MugaiHub_SY01Q00,Transmit data to Mugai Hub to reactivate station defenses,[SYS_1 TS_SUB-MugaiMabe TS_ZONE-S1-Mug_Imperial TS_INT-MugaiHub_SY01Q00],,//,,,//,,,//,,,//,,,,,,NONE
SY01Q00,SY01Q00_D1,NO_CHECKPOINT,TRUE,FALSE,,,,,,EV_DC_TST_SY01Q00_D1,Link Old Joe,,,,,,,,,//,,,,,,,,,NONE
