(ID),Label,BriefDescription,EntityType,BasePrice,BaseRarity,Icon,LabelKey,DescriptionKey,ProducerIcon,ModuleType,Quality,,,,,,,,ModuleType BAKCUP 26.03.26
COL-StationSupply_H,,,Consumable,10,Uncommon,,COL-StationSupply_H-Name,COL-StationSupply_H-Description,,,,,,,,,,,
COL-StationSupply_I,,,Consumable,10,Uncommon,,COL-StationSupply_I-Name,COL-StationSupply_I-Description,,,,,,,,,,,
COL-StationSupply_J,,,Consumable,10,Uncommon,,COL-StationSupply_J-Name,COL-StationSupply_J-Description,,,,,,,,,,,
COL-StationSupply_K,,,Consumable,10,Uncommon,,COL-StationSupply_K-Name,COL-StationSupply_K-Description,,,,,,,,,,,
COL-StationSupply_L,,,Consumable,10,Uncommon,,COL-StationSupply_L-Name,COL-StationSupply_L-Description,,,,,,,,,,,
COL-StationSupply_M,,,Consumable,10,Uncommon,,COL-StationSupply_M-Name,COL-StationSupply_M-Description,,,,,,,,,,,
COL-StationSupply_N,,,Consumable,10,Uncommon,,COL-StationSupply_N-Name,COL-StationSupply_N-Description,,,,,,,,,,,
COL-StationSupply_O,,,Consumable,10,Uncommon,,COL-StationSupply_O-Name,COL-StationSupply_O-Description,,,,,,,,,,,
COL-StationSupply_P,,,Consumable,10,Uncommon,,COL-StationSupply_P-Name,COL-StationSupply_P-Description,,,,,,,,,,,
COL-StationSupply_Q,,,Consumable,10,Uncommon,,COL-StationSupply_Q-Name,COL-StationSupply_Q-Description,,,,,,,,,,,
COL-StationSupply_R,,,Consumable,10,Uncommon,,COL-StationSupply_R-Name,COL-StationSupply_R-Description,,,,,,,,,,,
COL-StationSupply_S,,,Consumable,10,Uncommon,,COL-StationSupply_S-Name,COL-StationSupply_S-Description,,,,,,,,,,,
COL-StationSupply_T,,,Consumable,10,Uncommon,,COL-StationSupply_T-Name,COL-StationSupply_T-Description,,,,,,,,,,,
COL-StationSupply_U,,,Consumable,10,Uncommon,,COL-StationSupply_U-Name,COL-StationSupply_U-Description,,,,,,,,,,,
COL-StationSupply_V,,,Consumable,10,Uncommon,,COL-StationSupply_V-Name,COL-StationSupply_V-Description,,,,,,,,,,,
COL-StationSupply_W,,,Consumable,10,Uncommon,,COL-StationSupply_W-Name,COL-StationSupply_W-Description,,,,,,,,,,,
COL-StationSupply_X,Lexon Mnemonic File,A broken mnemonic record. Can reconstruct a neural fragment.,Consumable,10,Uncommon,,COL-StationSupply_X-Name,COL-StationSupply_X-Description,,,,,,,,,,,
COL-StationSupply_Y,Smuggled Tracker,An old tracking system once sold to Kaledo Station.,Consumable,10,Uncommon,,COL-StationSupply_Y-Name,COL-StationSupply_Y-Description,,,,,,,,,,,
COL-StationSupply_Z,Joe's Data,A high-strength drive built to endure extreme conditions.,Consumable,10,Uncommon,,COL-StationSupply_Z-Name,COL-StationSupply_Z-Description,,,,,,,,,,,
PY-P1_P1_S,Arm Red,[C],Module,0,Salvage,T_MOD_PY-P1_P1,PY-P1_P1_S-Name,PY-P1_P1_S-Description,TTF,Structural,10,,,,,,,,Structural
PY-P1_P1_M,Arm Red,[C],Module,0,Salvage,T_MOD_PY-P1_P1,PY-P1_P1_M-Name,PY-P1_P1_M-Description,TTF,Structural,10,,,,,,,,
PY-P1_P1_L,Arm Red,[C],Module,0,Salvage,T_MOD_PY-P1_P1,PY-P1_P1_L-Name,PY-P1_P1_L-Description,TTF,Structural,10,,,,,,,,Structural
PY-P1_P2_S,Arm Green to Red,[C],Module,0,Salvage,T_MOD_PY-P1_P2,PY-P1_P2_S-Name,PY-P1_P2_S-Description,TTF,Structural,10,,,,,,,,Structural
PY-P1_P2_M,Arm Green to Red,[C],Module,0,Salvage,T_MOD_PY-P1_P2,PY-P1_P2_M-Name,PY-P1_P2_M-Description,TTF,Structural,10,,,,,,,,
PY-P1_P2_L,Arm Green to Red,[C],Module,0,Salvage,T_MOD_PY-P1_P2,PY-P1_P2_L-Name,PY-P1_P2_L-Description,TTF,Structural,10,,,,,,,,Structural
PY-P2_P2_S,Arm Green,[C],Module,0,Salvage,T_MOD_PY-P2_P2,PY-P2_P2_S-Name,PY-P2_P2_S-Description,TTF,Structural,10,,,,,,,,Structural
PY-P2_P2_M,Arm Green,[C],Module,0,Salvage,T_MOD_PY-P2_P2,PY-P2_P2_M-Name,PY-P2_P2_M-Description,TTF,Structural,10,,,,,,,,
PY-P2_P2_L,Arm Green,[C],Module,0,Salvage,T_MOD_PY-P2_P2,PY-P2_P2_L-Name,PY-P2_P2_L-Description,TTF,Structural,10,,,,,,,,Structural
PY-P2_DP1_S,Arm Green to Double Red,[C],Module,0,Salvage,T_DP1,PY-P2_DP1_S-Name,PY-P2_DP1_S-Description,TTF,Structural,10,,,,,,,,Structural
PY-P2_DP1_M,Arm Green to Double Red,[C],Module,0,Salvage,T_DP1,PY-P2_DP1_M-Name,PY-P2_DP1_M-Description,TTF,Structural,10,,,,,,,,
PY-P2_DP1_L,Arm Green to Double Red,[C],Module,0,Salvage,T_DP1,PY-P2_DP1_L-Name,PY-P2_DP1_L-Description,TTF,Structural,10,,,,,,,,Structural
PY-P3_P3_S,Arm Blue,[C],Module,0,Salvage,T_MOD_PY-P3_P3,PY-P3_P3_S-Name,PY-P3_P3_S-Description,TTF,Structural,10,,,,,,,,Structural
PY-P3_P3_M,Arm Blue,[C],Module,0,Salvage,T_MOD_PY-P3_P3,PY-P3_P3_M-Name,PY-P3_P3_M-Description,TTF,Structural,10,,,,,,,,
PY-P3_P3_L,Arm Blue,[C],Module,0,Salvage,T_MOD_PY-P3_P3,PY-P3_P3_L-Name,PY-P3_P3_L-Description,TTF,Structural,10,,,,,,,,Structural
PY-P3_DP1_S,Arm Blue to Double Red,[C],Module,0,Salvage,T_DP1,PY-P3_DP1_S-Name,PY-P3_DP1_S-Description,TTF,Structural,10,,,,,,,,Structural
PY-P3_DP1_M,Arm Blue to Double Red,[C],Module,0,Salvage,T_DP1,PY-P3_DP1_M-Name,PY-P3_DP1_M-Description,TTF,Structural,10,,,,,,,,
PY-P3_DP1_L,Arm Blue to Double Red,[C],Module,0,Salvage,T_DP1,PY-P3_DP1_L-Name,PY-P3_DP1_L-Description,TTF,Structural,10,,,,,,,,Structural
PY-P3_DP2_S,Arm Blue to Double Green,[C],Module,0,Salvage,T_DP2,PY-P3_DP2_S-Name,PY-P3_DP2_S-Description,TTF,Structural,10,,,,,,,,Structural
PY-P3_DP2_M,Arm Blue to Double Green,[C],Module,0,Salvage,T_DP2,PY-P3_DP2_M-Name,PY-P3_DP2_M-Description,TTF,Structural,10,,,,,,,,
PY-P3_DP2_L,Arm Blue to Double Green,[C],Module,0,Salvage,T_DP2,PY-P3_DP2_L-Name,PY-P3_DP2_L-Description,TTF,Structural,10,,,,,,,,Structural
Special01_PY-P1_P1_S,Arm Red,[C],Module,0,Salvage,T_MOD_PY-P1_P1,Special01_PY-P1_P1_S-Name,Special01_PY-P1_P1_S-Description,TTF,Structural,10,,,,,,,,Structural
BODY00-StaringBody,Evo,"""The bodies of new humans will be cockpits. Their limit, the universe."" With these words, Abby Shield introduced the Evo, the standard body of every raider.",Module,900,Uncommon,T_MB_StartingBody,BODY00-StaringBody-Name,BODY00-StaringBody-Description,Abby,MainBody,480,,,,,,,,MainBody
BODY01-Spartan,Beyond,"An evolution of Abby’s basic model, designed to carry more powerful weapons.",Module,2700,Legendary,T_MB_SpartanShip,BODY01-Spartan-Name,BODY01-Spartan-Description,KnB,MainBody,770,,,,,,,,MainBody
BODY02-Dragon,Lizard Moon,"An old Maison Melies design for early Imperial ships, later stolen by Isaac Greyling Foundry. Basic, mid-strength, with no notable features.",Module,2100,Mythic,T_MB_DragonShip,BODY02-Dragon-Name,BODY02-Dragon-Description,Entity,MainBody,690,,,,,,,,MainBody
BODY03-Principal,Iron Creed,"The story goes that the first Iron leader, the Great Apostate, slew so many rivals that he forged a new hull from the pieces of their bodies.",Module,1300,Rare,T_MB_PrincipalBody,BODY03-Principal-Name,BODY03-Principal-Description,IGF,MainBody,550,,,,,,,,MainBody
BODY04-AppioBody,Bios,"The HomeInSpace Company designed the Bios for their Mugai mining raiders, seeking durable bodies. They later became the Empire’s main problem in the Mining Soul Revolution.",Module,1300,Rare,T_MB_AppioBody,BODY04-AppioBody-Name,BODY04-AppioBody-Description,Tolec,MainBody,550,,,,,,,,MainBody
BODY02a-Dragon_Iron,Iron Lizard,"A modification of the Lizard Moon, built by the Iron Guild after several prototypes. To choose the best, raiders were installed in them and fought each other.",Module,0,Salvage,T_MB_DragonShip,BODY02a-Dragon_Iron-Name,BODY02a-Dragon_Iron-Description,Maison,MainBody,0,,,,,,,,MainBody
BODY02b-Dragon_Gold,Gold Lizard,"A modified Lizard Moon based on the original body, enhanced with the famous Injectable Gold used by Gold Guild raiders.",Module,0,Salvage,T_MB_DragonShip,BODY02b-Dragon_Gold-Name,BODY02b-Dragon_Gold-Description,Maison,MainBody,0,,,,,,,,MainBody
BODY10-IronBody,Not Found,#N/A,Module,0,Salvage,T_MB_SpartanShip,BODY10-IronBody-Name,BODY10-IronBody-Description,TTF,MainBody,0,,,,,,,,MainBody
BODY11-GoldBody,Not Found,#N/A,Module,0,Salvage,T_MB_SpartanShip,BODY11-GoldBody-Name,BODY11-GoldBody-Description,TTF,MainBody,0,,,,,,,,MainBody
BODY12-MaalaxmiBody,Newcult,The Malaxdon are closed to the world beyond the Tree. Their rejection of traditional modules led them to develop a body grounded in their belief in Balance.,Module,0,Salvage,T_MB_DragonShip,BODY12-MaalaxmiBody-Name,BODY12-MaalaxmiBody-Description,TTF,MainBody,0,,,,,,,,MainBody
BODY13-AlienBody,Colonizer,"Old Imperial colonies can be a source of great satisfaction, especially when adapting alien ship cockpits for raider bodies. The Colonizer has been tested in some of the Human Empire’s most important expansion wars.",Module,0,Salvage,T_MB_DragonShip,BODY13-AlienBody-Name,BODY13-AlienBody-Description,IGF,MainBody,0,,,,,,,,MainBody
BODY14-IronScale,IronSun,"The Iron Guild’s latest and greatest body, forged from the capital ship carcasses of past leaders.",Module,3200,Legendary,T_BODY14-IronScale,BODY14-IronScale-Name,BODY14-IronScale-Description,IGF,MainBody,840,,,,,,,,MainBody
BODY15-GoldWings,Chrysos,Countless experiments were needed to achieve this body. Raiders who wield it spread golden glory across the Imperial colonies.,Module,3200,Rare,T_BODY15-GoldWings,BODY15-GoldWings-Name,BODY15-GoldWings-Description,IGF,MainBody,840,,,,,,,,MainBody
BODY16-IronScaleRust,Recycled IronSun,"The Iron Guild’s latest and greatest body, forged from the capital ship carcasses of past leaders.
Recycled body.",Module,2900,Legendary,T_BODY16-IronScaleRust,BODY16-IronScaleRust-Name,BODY16-IronScaleRust-Description,IGF,MainBody,800,,,,,,,,MainBody
BODY17-GoldWingsDust,Recycled Chrysos,"Countless experiments were needed to achieve this body. Raiders who wield it spread golden glory across the Imperial colonies.
Recycled body.",Module,2700,Rare,T_BODY17-GoldWingsDust,BODY17-GoldWingsDust-Name,BODY17-GoldWingsDust-Description,IGF,MainBody,770,,,,,,,,MainBody
SBDY01-SuperEagle,Not Found,#N/A,Module,0,Salvage,T_SB_Eagle,SBDY01-SuperEagle-Name,SBDY01-SuperEagle-Description,Cagetastic,MainBody,0,,,,,,,,MainBody
SBDY01-Eagle,Eagle,"No one sued when Entity stole the ""Beyond"" trademark from Abbey's Shield. The result is a light, fast, capacious raider body.",Module,3400,Legendary,T_SB_Eagle,SBDY01-Eagle-Name,SBDY01-Eagle-Description,Abby,MainBody,860,,,,,,,,MainBody
SBDY02-Classic,Algor,"Following its vision of “Realizing the future as if it were already present,” TTF System created the Algor, a prized raider body born from its own AI’s investments.",Module,0,Salvage,T_SB_Base,SBDY02-Classic-Name,SBDY02-Classic-Description,TTF,MainBody,0,,,,,,,,MainBody
SBDY03-Fly,Zephyros,"Derived from imperial suites where users were connected to each other, this tech evolved into a raider body. Zephyros uses connection data to minimize power use.",Module,2700,Legendary,T_SB_Fly,SBDY03-Fly-Name,SBDY03-Fly-Description,Entity,MainBody,780,,,,,,,,MainBody
SBDY04-Fregade,Talon,"Imperial explorers were the first to use this Maison Melies-designed high-pressure hull. Once a simple cockpit, it became a raider hull during early Neterun colonization.",Module,0,Salvage,T_SB_Fregade,SBDY04-Fregade-Name,SBDY04-Fregade-Description,Maison,MainBody,0,,,,,,,,MainBody
SBDY05-Helicon,Helicon,"Project One Record
Though the team is decimated, the Family demands continuity. Mind installation onto Helicon underway. Biological body will be destroyed.",Module,4200,Legendary,,SBDY05-Helicon-Name,SBDY05-Helicon-Description,KnB,MainBody,940,,,,,,,,MainBody
SBDY06-Blade,Prism,Sharp like a Mhafek’s pain.,Module,3500,Legendary,,SBDY06-Blade-Name,SBDY06-Blade-Description,TTF,MainBody,870,,,,,,,,MainBody
InternalCargo_XS,[C],[C],Item,0,Salvage,T_MOD_Cargo_S,InternalCargo_XS-Name,InternalCargo_XS-Description,Tolec,,#N/A,,,,,,,,
InternalCargo_S,[C],[C],Item,0,Salvage,T_MOD_Cargo_S,InternalCargo_S-Name,InternalCargo_S-Description,Tolec,,#N/A,,,,,,,,
InternalCargo_M,[C],[C],Item,0,Salvage,T_MOD_Cargo_M,InternalCargo_M-Name,InternalCargo_M-Description,Rebext,,#N/A,,,,,,,,
InternalCargo_L,[C],[C],Item,0,Salvage,T_MOD_Cargo_L,InternalCargo_L-Name,InternalCargo_L-Description,Tolec,,#N/A,,,,,,,,
TestAiAugSys,Not Found,AI for augmented reality,Item,0,Epic,,TestAiAugSys-Name,TestAiAugSys-Description,Cagetastic,,#N/A,,,,,,,,
TestHeatSink,Not Found,Repair from heat,Item,0,Epic,,TestHeatSink-Name,TestHeatSink-Description,HomeInSpace,,#N/A,,,,,,,,
HeatSink_Tier0,Greyling Cooler,Isaac Greyling was oddly proud of this modest heat sink that bears his name.,Item,0,Common,T_Item_HeatSink_A,HeatSink_Tier0-Name,HeatSink_Tier0-Description,IGF,,#N/A,,,,,,,,
HeatSink_Tier1,Rebooter,Uses heat dissipation from recycled organic material gathered after the Great Fixing Attack.,Item,0,Common,T_Item_HeatSink_A,HeatSink_Tier1-Name,HeatSink_Tier1-Description,Rebext,,#N/A,,,,,,,,
HeatSink_Tier2,Entity Cooler,"""Old Joe reaches where Isaac Greyling does not."" This heat sink proves it.",Item,0,Rare,T_Item_HeatSink_B,HeatSink_Tier2-Name,HeatSink_Tier2-Description,Entity,,#N/A,,,,,,,,
HeatSink_Tier3,K&B Powerplus,"Developed alongside the K&B Smoother, this heat sink offers an enviable fire rate and reliable stability.",Item,0,Epic,T_Item_HeatSink_C,HeatSink_Tier3-Name,HeatSink_Tier3-Description,KnB,,#N/A,,,,,,,,
TestPowPlan,Not Found,Resource for energy,Item,0,Epic,,TestPowPlan-Name,TestPowPlan-Description,Cagetastic,,#N/A,,,,,,,,
PowPlan_Tier0,Storer NW,"A simple, cheap battery mass-produced by Maison Méliès. It turned out toxic for some Imperial explorers.",Item,0,Common,T_Item_Power_A,PowPlan_Tier0-Name,PowPlan_Tier0-Description,Maison,,#N/A,,,,,,,,
PowPlan_Tier1,Storer NNW,"An evolution of the NW battery, created after the previous model was banned for lung toxicity, not an issue for raiders without lungs, according to Isaac Greyling.",Item,0,Common,T_Item_Power_A,PowPlan_Tier1-Name,PowPlan_Tier1-Description,IGF,,#N/A,,,,,,,,
PowPlan_Tier2,Halfway Supporter,"None of HIS’s engineers could name this battery better. Not too efficient, not too inefficient.",Item,0,Rare,T_Item_Power_B,PowPlan_Tier2-Name,PowPlan_Tier2-Description,HomeInSpace,,#N/A,,,,,,,,
PowPlan_Tier3,The Brightest,The most powerful power source a raider can mount. Developed by Rebext’s own artificial intelligences.,Item,0,Epic,T_Item_Power_C,PowPlan_Tier3-Name,PowPlan_Tier3-Description,Rebext,,#N/A,,,,,,,,
TestRadar,Not Found,Tool to see objects in space,Item,0,Epic,,TestRadar-Name,TestRadar-Description,KnB,,#N/A,,,,,,,,
TestSecEng,Not Found,Base propulsion,Item,0,Epic,,TestSecEng-Name,TestSecEng-Description,Rebext,,#N/A,,,,,,,,
SecEng_Tier1,Not Found,Base propulsion,Item,0,Epic,,SecEng_Tier1-Name,SecEng_Tier1-Description,Rebext,,#N/A,,,,,,,,
TestShieldGen,Not Found,Base protection,Item,0,Epic,,TestShieldGen-Name,TestShieldGen-Description,Entity,,#N/A,,,,,,,,
ShieldGen_Tier0,Numen,"A common shield generator by Cagetastic, scaled down from the tech once used to build cages.",Item,0,Epic,T_Item_Shield_A,ShieldGen_Tier0-Name,ShieldGen_Tier0-Description,Cagetastic,,#N/A,,,,,,,,
ShieldGen_Tier1,Bodyguard,"Lets the raider focus on offense while absorbing hits. Abby said she was inspired by the immune system, though how remains unknown.",Item,0,Epic,T_Item_Shield_A,ShieldGen_Tier1-Name,ShieldGen_Tier1-Description,Abby,,#N/A,,,,,,,,
ShieldGen_Tier2,DF Support,The first shield generator produced by Abby’s Shield and among the last projects personally overseen by Abby.,Item,0,Epic,T_Item_Shield_B,ShieldGen_Tier2-Name,ShieldGen_Tier2-Description,Abby,,#N/A,,,,,,,,
ShieldGen_Tier3,No-Troubles,"When Abby’s Shield unveiled this model, Imperial investors were thrilled. Despite its grand name, it’s one of the best shield generators on the market.",Item,0,Epic,T_Item_Shield_C,ShieldGen_Tier3-Name,ShieldGen_Tier3-Description,Abby,,#N/A,,,,,,,,
TestTractBeam,Not Found,#N/A,Item,0,Epic,,TestTractBeam-Name,TestTractBeam-Description,TTF,,#N/A,,,,,,,,
TestWarpDrive,Not Found,#N/A,Item,0,Epic,,TestWarpDrive-Name,TestWarpDrive-Description,Tolec,,#N/A,,,,,,,,
SonicMatterCollector_S,Not Found,#N/A,Item,0,Salvage,T_MOD_SonicExtractor_L,SonicMatterCollector_S-Name,SonicMatterCollector_S-Description,TTF,,#N/A,,,,,,,,
MOD00-StartingShipEngine,Fibuljet,"Designed by HIS to save weight and cost, it was later mass-produced by the colonists of NGCC 97-Aleph.",Module,0,Salvage,T_MOD_Engine_S,MOD00-StartingShipEngine-Name,MOD00-StartingShipEngine-Description,HomeInSpace,MainEngine,0,,,,,,,,
MOD00a-InternalEngine_00,[C],[C],Module,0,Salvage,T_MOD_Engine_S,MOD00a-InternalEngine_00-Name,MOD00a-InternalEngine_00-Description,TTF,,#N/A,,,,,,,,
MOD00a-InternalEngine_01,[C],[C],Module,0,Salvage,T_MOD_Engine_S,MOD00a-InternalEngine_01-Name,MOD00a-InternalEngine_01-Description,TTF,,#N/A,,,,,,,,
