MOD07-Gun_S_07_Premium,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,EN-ArmedScalped,5500,5000,FALSE,
MOD08-Gun_M,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,EN-BatikiMining,5500,0,FALSE,
MOD15-Gatling_00,Radar,0.00,FALSE,375.00,300.00,Common,,Weapon,Primary,-1,0.1,0.25,95,105,15000,0.85,,TRUE,150,BALANCED,0.02,1.5,100.00,150.00,858.50,0,,375.00,1800,0,SI,0,,EN-BatikiGuard,6000,2400,FALSE,
MOD15-Gatling_01,Radar,0.00,FALSE,375.00,300.00,Common,,Weapon,Primary,-1,0.1,0.25,95,105,15000,0.85,,TRUE,100,BALANCED,0.02,1.5,100.00,100.00,858.50,0,,375.00,1800,0,SI,0,,EN-BatikiCargo,5500,2500,FALSE,
MOD15-Gatling_02,Radar,0.00,FALSE,375.00,300.00,Common,,Weapon,Primary,-1,0.1,0.25,95,105,15000,0.85,,TRUE,50,BALANCED,0.02,1.5,100.00,50.00,858.50,0,,375.00,1800,0,SI,0,,EN-Murena,2680,0,FALSE,
MOD20-Blades,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,,,,,
MOD21-Gatling_02,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,,,,,
MOD21b-Gatling_02_Poor,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,,,,,
MOD21c-Gatling_02_Premium,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,TRUE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,,,,,
MOD40-RaiderGatling01,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,,,,,
MOD41-Gatling_S,Radar,3.00,FALSE,374.00,300.00,Common,,Weapon,Primary,-1,0.05,0.1,30,50,600,0.75,20000,TRUE,200.00,BALANCED,0.00,1.50,40.00,200.00,600.00,1,,374.00,6000,0.925,SI,2400,,,,,,
MOD41a-Gatling_S_Poor,Radar,2.00,FALSE,424.00,400.00,Uncommon,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,TRUE,0,BALANCED,0,1.50,1.00,0.00,1.00,1,,424.00,16,2.8,,3200,,,,,,
MOD41b-Gatling_S_Premium,Radar,3.00,FALSE,539.00,600.00,Rare,,Weapon,Primary,-1,0.2,0.1,300,350,15000,0.85,20000,FALSE,150.00,BALANCED,0.02,1.50,325.00,150.00,1395.06,2,SS-Caemeterium,539.00,11160.5,1.541666667,SI,2400,,,,,,
MOD41c-Gatling_S_Marianan,Radar,3.00,FALSE,622.00,800.00,Epic,,Weapon,Primary,-1,0.3,0.1,350,450,15000,0.85,20000,FALSE,70.00,BALANCED,0,1.50,400.00,70.00,1133.33,1,,622.00,11333.33333,2.642857143,SI,6400,,,,,,
MOD42-Gatling_M,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,SS-AsteroidDump,222.00,0,0,,0,,,,,,
MOD53-GatlingIron_M,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,SS-Marianan,222.00,0,0,,0,,,,,,
MOD55-GatlingLevel_S,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,,,,,
MOD60-AlienGatling_S,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,,,,,
MOD61-AlienGatling_M,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,,,,,
MOD66-BladeGatling,Radar,3.00,FALSE,712.00,1100.00,Mythic,,Weapon,Primary,-1,0.5,0.1,1000,2000,0,0.6,20000,FALSE,80,BALANCED,0,1.50,1500.00,80.00,1800.00,2,,712.00,14400,2.890625,,4400,,,,,,
MOD69-HeliconGatling,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,,,,,
MOD71-HeliconGatling_Premium,Radar,2.00,FALSE,816.00,1500.00,Legendary,,Weapon,Primary,-1,0.35,0.1,400,600,15000,0.95,20000,FALSE,50,BALANCED,0.05,1.50,500.00,50.00,1391.07,2,,816.00,11128.57143,4.625,SI,6000,,,,,,
MOD72-GatlingGold_S,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,,222.00,0,0,,0,,,,,,
MOD73-GatlingIron_S,,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,BALANCED,0,1.50,1.00,0.00,1.00,0,Blueprint,222.00,0,0,,0,,,,,,
MOD78-RageGun_S,,4.00,FALSE,571.00,700.00,Rare,,Weapon,Primary,-1,0.2,0.1,100,200,15000,0.90,20000,FALSE,50.00,BALANCED,0,1.50,150.00,50.00,675.00,1,,571.00,5400,4.625,SI,5600,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,0,,,,Max per socket,Socket,,,
,,,,,,,,,,,,,,,,,,,,,,,,,DPS Tier 0,,,,,0,,,,0,P1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,275,,,,,0,,,,0,P2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,DPS Tier 1,,,,Avg Enemy Hull,0,,,,0,P3,,,
,,,,,,,,,,,,,,,,,,,,,,,,,550,,,,6750,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,DPS Tier 2,,,,,0,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1100,,,,,0,,,,,,,,
Laser,ItemType,PowerConsumption,Incorporated,Quality,Price,Rarity,StaticMesh,ModuleType,WeaponType,AmmoMagazineSize,Rate,ChargeTime,BaseDamageMin,BaseDamageMax,ProjectileSpeed,ProjectileAccuracy,ProjectileRange,RotableStructure,HeatGeneration,PrimaryAmmoType,CritChance,CritDamage,DPA,HPS,DPS,Socket,,,DPS Check,HEAT CHECK,In Game,NeededCost,,,,,,
MOD07-Gun_S_04,Radar,2.00,FALSE,521.00,600.00,Rare,,Weapon,Primary,-1,0.2,0.1,150,300,15000,0.85,20000,TRUE,150.00,LASER,0.10,1.50,225.00,150.00,1004.06,2,SS-Emerald,,8032.5,1.541666667,SI,2400,,,,,,
MOD07-Gun_S_05,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,LASER,0,1.50,1.00,0.00,1.00,0,,,0,0,,0,,,,,,
MOD07-Gun_S_06,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,LASER,0,1.50,1.00,0.00,1.00,0,,,0,0,,0,,,,,,
MOD10-Laser_S,Radar,4.00,FALSE,401.00,300.00,Common,,Weapon,Primary,-1,0.3,0.1,300,400,35000,0.90,20000,TRUE,200.00,LASER,0.10,1.50,350.00,200.00,1102.50,1,SS-Marianan,,8820,1.15625,SI,2400,,,,,,
MOD10b-Laser_S_Poor,Radar,2.00,FALSE,500.00,500.00,Uncommon,,Weapon,Primary,-1,0.25,0.1,100,200,35000,1.00,20000,TRUE,200.00,LASER,0.10,1.50,150.00,200.00,630.00,1,SS-Caemeterium,,10080,0.578125,SI,4000,,,,,,
MOD10c-Laser_Starting,Radar,2.00,FALSE,451.00,400.00,Uncommon,,Weapon,Primary,-1,0.2,0.1,90,100,35000,1.00,20000,TRUE,200.00,LASER,0.10,1.50,95.00,200.00,498.75,1,SS-Caemeterium,,7980,0.578125,SI,3200,,,,,,
MOD11b-Laser_L_Poor,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,LASER,0,1.50,1.00,0.00,1.00,0,,,0,0,,0,,,,,,
MOD11-Laser_L,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,LASER,0,1.50,1.00,0.00,1.00,0,,,0,0,,0,,,,,,
MOD11c-Laser_L_Premium,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,LASER,0,1.50,1.00,0.00,1.00,0,,,0,0,,0,,,,,,
MOD54-LaserGold_S,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,LASER,0,1.50,1.00,0.00,1.00,0,,,0,0,,0,,,,,,
MOD56-LaserLevel_S,Radar,2.00,FALSE,222.00,100.00,Salvage,,Weapon,Primary,-1,1,0.1,1,1,0,1,20000,FALSE,0,LASER,0,1.50,1.00,0.00,1.00,0,,,0,0,,0,,,,,,
MOD65-BladeLaser,Radar,3.00,FALSE,614.00,800.00,Epic,,Weapon,Primary,-1,0.6,0.1,1300,1300,35000,1,20000,FALSE,400,LASER,0,1.50,1300.00,400.00,2166.67,2,Blueprint,,17333.33333,0.578125,SI,3200,,,,,,
MOD74-RadiantLaser_L,Radar,3.00,FALSE,437.00,400.00,Uncommon,,Weapon,Primary,-1,0.4,0.1,600,1000,30000,0.95,20000,FALSE,400,LASER,0.1,1.50,800.00,400.00,1995.00,3,Blueprint,,7980,1.15625,SI,800,,,,,,
MOD76-BlastLaser_S,Radar,2.00,FALSE,643.00,900.00,Epic,,Weapon,Primary,-1,0.1,0.1,1,1000,35000,0.20,20000,FALSE,300.00,LASER,0.10,1.50,500.50,300.00,1051.05,1,SS-Marianan,,16816.8,0.3854166667,SI,7200,,,,,,
MOD77-LaserSpike_S,Radar,3.00,FALSE,630.00,900.00,Epic,,Weapon,Primary,-1,0.1,0.1,50,110,100,1.00,20000,FALSE,50.00,LASER,0.10,1.50,80.00,50.00,840.00,1,SS-MugaiBabe,,8400,3.7,SI,7200,,,,,,
